Product ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error
Kr99 ; 3.6386E-8 ; 2.3287E-8 ; 1.54734E-9 ; 9.903E-10
Kr100 ; 3.36017E-11 ; 2.15051E-11 ; 2.07E-10 ; 1.3248E-10
Kr101 ; 1.1301E-12 ; 7.23266E-13 ; 3.63318E-11 ; 2.32523E-11
Rb79 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Rb81 ; 0.0 ; 0.0 ; 5.85E-14 ; 3.744E-14
Rb83 ; 4.25021E-12 ; 2.72014E-12 ; 3.82E-10 ; 2.4448E-10
Rb84 ; 4.27021E-10 ; 2.73294E-10 ; 1.71E-8 ; 1.0944E-8
Rb85 ; 3.20016E-8 ; 2.0481E-8 ; 6.01E-7 ; 3.8464E-7
Rb86 ; 4.15021E-7 ; 2.65613E-7 ; 4.625E-6 ; 2.96E-6
Rb86m ; 4.15021E-7 ; 2.65613E-7 ; 4.625E-6 ; 2.96E-6
Rb87 ; 1.78909E-5 ; 1.14502E-5 ; 1.2321E-4 ; 7.88544E-5
Rb88 ; 1.84699E-4 ; 1.18208E-4 ; 6.899E-4 ; 4.41536E-4
Rb89 ; 0.00142658 ; 9.13012E-4 ; 0.0036645 ; 0.00234528
Rb90 ; 8.86464E-4 ; 5.67337E-4 ; 0.00112346 ; 7.19014E-4
Rb90m ; 0.00432527 ; 0.00276817 ; 0.00908674 ; 0.00581551
Rb91 ; 0.0168554 ; 0.00539374 ; 0.0197378 ; 0.00631611
Rb92 ; 0.0253177 ; 0.00810167 ; 0.0276248 ; 0.00883994
Rb93 ; 0.0297833 ; 0.00953065 ; 0.0253604 ; 0.00811534
Rb94 ; 0.0170756 ; 0.0054642 ; 0.0175996 ; 0.00563188
Rb95 ; 0.0112409 ; 0.00359709 ; 0.00755789 ; 0.00483705
Rb96 ; 0.00308434 ; 0.00197398 ; 0.00244839 ; 0.00156697
Rb97 ; 7.06425E-4 ; 4.52112E-4 ; 5.9442E-4 ; 3.80429E-4
Rb98 ; 9.90649E-5 ; 6.34016E-5 ; 9.049E-5 ; 5.79136E-5
Rb99 ; 4.78881E-5 ; 3.06484E-5 ; 5.04958E-6 ; 3.23173E-6
Rb100 ; 3.74019E-7 ; 2.39372E-7 ; 8.15E-7 ; 5.216E-7
Rb101 ; 3.77587E-8 ; 2.41656E-8 ; 1.18565E-7 ; 7.58814E-8
Rb102 ; 1.17027E-10 ; 7.48974E-11 ; 8.73058E-10 ; 5.58757E-10
