Product , High (14 MeV) 
Product ,  
Product , Yield 
Ba135 ,0.000005995
Ba135m ,0.000005995
Ba136 ,0.0000645
Ba136m ,0.0000645
Ba137 ,0.00012103
Ba137m ,0.00055135
Ba138 ,0.00294265
Ba139 ,0.00853103
Ba140 ,0.0132317
Ba141 ,0.0189431
Ba142 ,0.0245739
Ba143 ,0.0151658
Ba144 ,0.00738296
Ba145 ,0.00276518
Ba146 ,0.00070059
Ba147 ,0.000103112
Ba148 ,0.00001316
Ba149 ,0.000000906677
Ba150 ,0.000000054
Ba151 ,8.49986E-10
Ba152 ,5.69E-11
Ba153 ,2.67655E-12
Ba154 ,0
La133 ,2.93E-12
La135 ,0.00000000938
La137 ,0.00000368
La138 ,0.00004057
La139 ,0.00028405
La140 ,0.0010392
La141 ,0.00349448
La142 ,0.0101969
La143 ,0.0139557
La144 ,0.0150497
La145 ,0.0126238
La146 ,0.00365727
La146m ,0.00365727
La147 ,0.00253382
La148 ,0.00077371
La149 ,0.00012781
La150 ,0.00001897
La151 ,0.00000187915
La152 ,0.000000126
La153 ,0.00000000591732
La154 ,1.32E-10
La155 ,3.37447E-12
La156 ,  
Ce135 ,6.5E-13
Ce137 ,0.00000000186
Ce138 ,0.0000000537
Ce139 ,0.000000171
Ce139m ,0.000000778
Ce140 ,0.00000863
Ce141 ,0.00007258
Ce142 ,0.00050607
Ce143 ,0.00161468
Ce144 ,0.00396159
Ce145 ,0.0074182
Ce146 ,0.00951154
Ce147 ,0.00732322
Ce148 ,0.00505032
Ce149 ,0.00188711
Ce150 ,0.0006636
Ce151 ,0.00015558
Ce152 ,0.00002576
Ce153 ,0.00000311
Ce154 ,0.000000176
Ce155 ,0.00000000948663
Ce156 ,3.85E-10
Ce157 ,9.34E-12
Ce158 ,1.48E-13
Ce159 ,  
Ce160 ,0
Pr139 ,2.9E-10
Pr140 ,0.00000000675
Pr141 ,0.000000148
Pr142 ,0.00000129
Pr142m ,0.00000129
Pr143 ,0.00002031
