Product , Thermal (0.0253 eV) 
Product ,  
Product , Yield 
Sn129 ,0.00555127
Sn129m ,0.00226296
Sn130 ,0.00513936
Sn130m ,0.00513936
Sn131 ,0.00413845
Sn131m ,0.00413845
Sn132 ,0.00424046
Sn133 ,0.00097619
Sn134 ,0.00011594
Sn135 ,0.00000675986
Sn136 ,0.00000026
Sn137 ,0.00000000402992
Sn138 ,6.09E-11
Sn139 ,1.00103E-12
Sb113 ,0
Sb115 ,0
Sb117 ,0
Sb118 ,0
Sb118m ,0
Sb119 ,8.93E-14
Sb120 ,3.39E-12
Sb120m ,4.89E-12
Sb121 ,6.58E-10
Sb122 ,0.0000000092
Sb122m ,0.0000000104
Sb123 ,0.000000378
Sb124 ,0.0000000254
Sb124m ,0.0000000254
Sb124n ,0.0000000254
Sb125 ,0.000000419
Sb126 ,0.00000123
Sb126m ,0.000001045
Sb126n ,0.000001045
Sb127 ,0.00003716
Sb128 ,0.00009573
Sb128m ,0.000163
Sb129 ,0.00148869
Sb130 ,0.00254247
Sb130m ,0.00432905
Sb131 ,0.0201325
Sb132 ,0.0149893
Sb132m ,0.0108544
Sb133 ,0.0254247
Sb134 ,0.00427147
Sb134m ,0.00427147
Sb135 ,0.00233012
Sb136 ,0.00026989
Sb137 ,0.00002082
Sb138 ,0.000000924
Sb139 ,0.000000031799
Sb140 ,1.00939E-10
Sb141 ,4.28014E-12
Sb142 ,8.36591E-14
Te115 ,0
Te117 ,0
Te118 ,0
Te119 ,0
Te120 ,0
Te121 ,9.75E-15
Te121m ,9.75E-15
Te122 ,3.05E-12
Te123 ,4.22E-11
Te123m ,1.41E-10
Te124 ,4.53E-14
Te125 ,1.47E-13
Te125m ,4.91E-13
Te126 ,2.07E-11
Te127 ,2.33E-10
Te127m ,5.71E-10
Te128 ,0.0000000219
Te129 ,0.000000112
Te129m ,0.000000275
Te130 ,0.00038905
Te131 ,0.00082964
Te131m ,0.00203639
Te132 ,0.0151594
Te133 ,0.00990784
Te133m ,0.0242572
Te134 ,0.0450616
Te135 ,0.030997
Te136 ,0.0155913
Te137 ,0.00341944
Te138 ,0.00068281
Te139 ,0.00006722
Te140 ,0.0000047899
Te141 ,0.000000203107
Te142 ,0.00000000396992
Te143 ,9.24797E-12
Te144 ,1.08094E-12
I121 ,0
I123 ,0
I125 ,0
I126 ,0
I127 ,0
I128 ,0
I129 ,5.56E-14
I130 ,0.000000578
I130m ,0.000000248
I131 ,0.00002783
I132 ,0.00020259
I132m ,0.00020259
I133 ,0.00207652
I133m ,0.00207652
I134 ,0.0122477
I134m ,0.00683735
