Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error
Ge87 ; 5.74983E-7 ; 3.67989E-7 ; 6.8997E-7 ; 4.41581E-7 ; 3.58916E-6 ; 2.29706E-6
Ge88 ; 3.11992E-8 ; 1.99675E-8 ; 3.87986E-8 ; 2.48311E-8 ; 2.80944E-7 ; 1.79804E-7
Ge89 ; 2.47142E-9 ; 1.58171E-9 ; 4.73151E-9 ; 3.02817E-9 ; 5.45126E-8 ; 3.48881E-8
Ge90 ; 4.30146E-12 ; 2.75294E-12 ; 8.77173E-12 ; 5.61391E-12 ; 2.41939E-10 ; 1.54841E-10
Ge91 ; 5.97106E-13 ; 3.82148E-13 ; 1.23436E-12 ; 7.8999E-13 ; 4.67359E-11 ; 2.9911E-11
As69 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
As71 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
As72 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
As73 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.03E-14 ; 6.592E-15
As74 ; 1.55E-14 ; 9.92E-15 ; 2.61E-13 ; 1.6704E-13 ; 2.08E-13 ; 1.3312E-13
As74m ; 3.61E-14 ; 2.3104E-14 ; 7.05E-13 ; 4.512E-13 ; 4.84E-13 ; 3.0976E-13
As75 ; 4.23E-12 ; 2.7072E-12 ; 4.12E-11 ; 2.6368E-11 ; 1.08E-11 ; 6.912E-12
As76 ; 1.77E-10 ; 1.1328E-10 ; 1.53E-9 ; 9.792E-10 ; 5.12E-10 ; 3.2768E-10
As77 ; 1.75E-8 ; 1.12E-8 ; 5.86E-8 ; 3.7504E-8 ; 9.99E-8 ; 6.3936E-8
As78 ; 3.3E-7 ; 2.112E-7 ; 8.41E-7 ; 5.3824E-7 ; 1.65E-6 ; 1.056E-6
As79 ; 2.24E-6 ; 1.4336E-6 ; 1.158E-5 ; 7.4112E-6 ; 1.388E-5 ; 8.8832E-6
As80 ; 1.89E-5 ; 1.2096E-5 ; 5.832E-5 ; 3.73248E-5 ; 7.56E-5 ; 4.8384E-5
As81 ; 1.1096E-4 ; 7.10144E-5 ; 2.6289E-4 ; 1.6825E-4 ; 2.8216E-4 ; 1.80582E-4
As82 ; 1.3449E-4 ; 8.60736E-5 ; 2.912E-4 ; 1.86368E-4 ; 3.3025E-4 ; 2.1136E-4
As82m ; 1.3449E-4 ; 8.60736E-5 ; 2.912E-4 ; 1.86368E-4 ; 3.3025E-4 ; 2.1136E-4
As83 ; 8.1509E-4 ; 5.21658E-4 ; 0.00104633 ; 6.69651E-4 ; 0.00126879 ; 8.12026E-4
As84 ; 5.21955E-4 ; 3.34051E-4 ; 7.08925E-4 ; 4.53712E-4 ; 5.58635E-4 ; 3.57527E-4
As84m ; 5.21955E-4 ; 3.34051E-4 ; 7.08925E-4 ; 4.53712E-4 ; 5.58635E-4 ; 3.57527E-4
As85 ; 9.9496E-4 ; 6.36775E-4 ; 0.00100805 ; 6.45152E-4 ; 0.00245868 ; 0.00157356
As86 ; 4.1964E-4 ; 2.6857E-4 ; 4.8125E-4 ; 3.08E-4 ; 0.00104429 ; 6.68346E-4
As87 ; 1.4712E-4 ; 9.41568E-5 ; 1.584E-4 ; 1.01376E-4 ; 3.8292E-4 ; 2.45069E-4
As88 ; 2.449E-5 ; 1.56736E-5 ; 2.657E-5 ; 1.70048E-5 ; 8.281E-5 ; 5.29984E-5
As89 ; 2.29753E-6 ; 1.47042E-6 ; 3.26527E-6 ; 2.08977E-6 ; 1.20155E-5 ; 7.68991E-6
As90 ; 8.02173E-8 ; 5.13391E-8 ; 1.06918E-7 ; 6.84277E-8 ; 5.39788E-7 ; 3.45464E-7
As91 ; 1.31106E-8 ; 8.39076E-9 ; 1.77323E-8 ; 1.13486E-8 ; 1.22892E-7 ; 7.86508E-8
As92 ; 4.19484E-11 ; 2.6847E-11 ; 6.38077E-11 ; 4.08369E-11 ; 8.6637E-10 ; 5.54477E-10
As93 ; 2.45146E-12 ; 1.56893E-12 ; 5.06093E-12 ; 3.239E-12 ; 1.16256E-10 ; 7.44038E-11
As94 ; 6.83604E-14 ; 4.37507E-14 ; 1.25428E-13 ; 8.02738E-14 ;  ; 
