Product ; Th227  Thermal (0.0253 eV) ; Th227  Thermal (0.0253 eV) ; Th229  Thermal (0.0253 eV) ; Th229  Thermal (0.0253 eV) ; Th232  Fast (500 keV) ; Th232  Fast (500 keV) ; Th232  High (14 MeV) ; Th232  High (14 MeV)
Product ;  ;  ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error ; Yield ; Error
Zn84 ; 4.96E-14 ; 3.1744E-14 ; 6.08003E-11 ; 3.89122E-11 ; 3.57989E-9 ; 2.29113E-9 ; 2.24968E-8 ; 1.43979E-8
Zn85 ; 8.79752E-16 ; 5.63041E-16 ; 3.67688E-13 ; 2.3532E-13 ; 1.47932E-11 ; 9.46766E-12 ; 2.04089E-9 ; 1.30617E-9
Zn86 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 5.23988E-13 ; 3.35352E-13 ; 6.85E-11 ; 4.384E-11
Zn87 ;  ;  ;  ;  ; 4.7786E-14 ; 3.0583E-14 ; 9.55857E-12 ; 6.11749E-12
Ga66 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ga67 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ga68 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.03E-14 ; 6.592E-15
Ga69 ; 3.65E-14 ; 2.336E-14 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 8.1E-13 ; 5.184E-13
Ga70 ; 1.84E-12 ; 1.1776E-12 ; 2.17001E-13 ; 1.38881E-13 ; 8.43981E-14 ; 5.40148E-14 ; 3.66E-11 ; 2.3424E-11
Ga71 ; 1.3E-10 ; 8.32001E-11 ; 2.99002E-11 ; 1.91361E-11 ; 8.6598E-12 ; 5.54227E-12 ; 1.28E-9 ; 8.192E-10
Ga72 ; 1.855E-9 ; 1.1872E-9 ; 5.95003E-10 ; 3.80802E-10 ; 2.29495E-10 ; 1.46877E-10 ; 1.285E-8 ; 8.224E-9
Ga72m ; 1.855E-9 ; 1.1872E-9 ; 5.95003E-10 ; 3.80802E-10 ; 2.29495E-10 ; 1.46877E-10 ; 1.285E-8 ; 8.224E-9
