Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error
As92 ; 5.0364E-12 ; 3.2233E-12 ; 9.45463E-12 ; 6.05096E-12 ; 1.01568E-10 ; 6.50037E-11
As93 ; 4.33707E-13 ; 2.77572E-13 ; 2.03763E-12 ; 1.30409E-12 ; 1.60844E-11 ; 1.0294E-11
Se72 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se73 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se73m ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se74 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 2.22062E-13 ; 1.4212E-13
Se75 ; 0.0 ; 0.0 ; 4.18E-14 ; 2.6752E-14 ; 1.21034E-11 ; 7.74618E-12
Se76 ; 3.94E-13 ; 2.5216E-13 ; 8.33E-12 ; 5.3312E-12 ; 5.18146E-10 ; 3.31613E-10
Se77 ; 4.38E-12 ; 2.8032E-12 ; 4.92E-11 ; 3.1488E-11 ; 1.12031E-9 ; 7.17002E-10
Se77m ; 2.93E-11 ; 1.8752E-11 ; 3.61E-10 ; 2.3104E-10 ; 1.29036E-8 ; 8.25832E-9
Se78 ; 3.24E-9 ; 2.0736E-9 ; 1.76E-8 ; 1.1264E-8 ; 2.55072E-7 ; 1.63246E-7
Se79 ; 8.34E-8 ; 5.3376E-8 ; 4.32E-7 ; 2.7648E-7 ; 3.04085E-6 ; 1.94615E-6
Se79m ; 1.25E-8 ; 8.0E-9 ; 5.89E-8 ; 3.7696E-8 ; 2.29064E-7 ; 1.46601E-7
Se80 ; 1.48E-6 ; 9.472E-7 ; 7.63E-6 ; 4.8832E-6 ; 2.64674E-5 ; 1.69392E-5
Se81 ; 3.92E-6 ; 2.5088E-6 ; 1.157E-5 ; 7.4048E-6 ; 1.25935E-5 ; 8.05987E-6
Se81m ; 2.622E-5 ; 1.67808E-5 ; 8.482E-5 ; 5.42848E-5 ; 1.44801E-4 ; 9.26724E-5
Se82 ; 2.2944E-4 ; 1.46842E-4 ; 5.4297E-4 ; 3.47501E-4 ; 6.51853E-4 ; 4.17186E-4
Se83 ; 8.4955E-4 ; 5.43712E-4 ; 0.00149015 ; 9.53696E-4 ; 0.00157643 ; 0.00100892
Se83m ; 1.9928E-4 ; 1.27539E-4 ; 3.0244E-4 ; 1.93562E-4 ; 1.94855E-4 ; 1.24707E-4
Se84 ; 0.00258639 ; 0.00165529 ; 0.0039795 ; 0.00179078 ; 0.0030203 ; 0.00193299
Se85 ; 0.00274308 ; 0.00175557 ; 0.00301921 ; 0.00193229 ; 0.00223714 ; 0.00143177
Se85m ; 0.00272771 ; 0.00174573 ; 0.0030041 ; 0.00192262 ; 0.00222425 ; 0.00142352
