Product , Th232  Fast (500 keV) 
Product ,  
Product , Yield 
Ce139 ,0
Ce139m ,0
Ce140 ,8.42981E-13
Ce141 ,1.07998E-10
Ce142 ,0.00000000649985
Ce143 ,0.000000238995
Ce144 ,0.00000767983
Ce145 ,0.0000717584
Ce146 ,0.000534658
Ce147 ,0.00218828
Ce148 ,0.00557099
Ce149 ,0.00553944
Ce150 ,0.00409085
Ce151 ,0.00231716
Ce152 ,0.000322103
Ce153 ,0.000045949
Ce154 ,0.00000253994
Ce155 ,0.000000175933
Ce156 ,0.000000012196
Ce157 ,2.35992E-10
Ce158 ,4.99984E-12
Ce159 ,7.51762E-14
Ce160 ,0
Ce161 ,7.42196E-19
Pr139 ,0
Pr140 ,0
Pr141 ,0
Pr142 ,1.22997E-14
Pr142m ,1.22997E-14
Pr143 ,4.13991E-12
Pr144 ,3.93991E-11
Pr144m ,3.97991E-10
Pr145 ,0.0000000189996
Pr146 ,0.00000046099
Pr147 ,0.00000847981
Pr148 ,0.0000329393
Pr148m ,0.0000329393
Pr149 ,0.000274354
Pr150 ,0.000538658
Pr151 ,0.00106538
Pr152 ,0.000370512
Pr153 ,0.000188406
Pr154 ,0.0000275894
Pr155 ,0.00000751983
Pr156 ,0.00000156996
Pr157 ,0.000000127997
Pr158 ,0.00000000817982
Pr159 ,1.40922E-10
Pr160 ,4.12991E-12
Pr161 ,4.64067E-14
Pr162 ,5.10115E-17
Pr163 ,1.34894E-18
Nd140 ,0
Nd141 ,0
Nd142 ,0
Nd143 ,0
Nd144 ,0
Nd145 ,2.32995E-13
Nd146 ,3.24993E-11
Nd147 ,0.00000000161996
Nd148 ,0.0000000572987
Nd149 ,0.000000791982
Nd150 ,0.00000689984
Nd151 ,0.0000401791
Nd152 ,0.0000551088
Nd153 ,0.0000743683
